SiteID,852124,Site Timezone,-7,Data Timezone,-7,Longitude,-105.217559814,Latitude,39.7592353821
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),air temperature at 100m (C),air pressure at 100m (Pa)
2014,1,1,0,30,8.91,263.6,4.69,80280
2014,1,1,1,30,7.0200000000000005,268.52,4.82,80290
2014,1,1,2,30,5.3100000000000005,325,4.28,80270
2014,1,1,3,30,14.05,341.17,4.86,80280
2014,1,1,4,30,4.66,36.64,3.49,80320
2014,1,1,5,30,2.0100000000000002,69.23,1.9100000000000001,80390
2014,1,1,6,30,1.7,196.08,1.93,80450
2014,1,1,7,30,3.18,212.59,2.06,80470
2014,1,1,8,30,2.02,242.17000000000002,2.23,80510
2014,1,1,9,30,3.93,1.02,1.9100000000000001,80610
2014,1,1,10,30,2.42,56.72,0.38,80670
2014,1,1,11,30,2.58,64.52,0.93,80690
2014,1,1,12,30,4.07,39.1,1.03,80740
2014,1,1,13,30,3.72,4.74,1.09,80800
2014,1,1,14,30,3.94,349.02,1.31,80840
2014,1,1,15,30,5.55,14.66,-1.08,80900
2014,1,1,16,30,4.45,24.78,-2.32,81010
2014,1,1,17,30,2.34,6.38,-2.18,81090
2014,1,1,18,30,0.6,280.7,-2.1,81140
2014,1,1,19,30,2.94,340.2,-1.8900000000000001,81140
2014,1,1,20,30,2.37,63.32,-2.87,81120
2014,1,1,21,30,1.31,14.1,-2.7600000000000002,81100
2014,1,1,22,30,1.47,152.67000000000002,-2.46,81060
2014,1,1,23,30,2.25,179.3,-1.09,81010
2014,1,2,0,30,5.04,229.4,0.02,80980
2014,1,2,1,30,5.48,226.41,0.72,80960
2014,1,2,2,30,5.2,229.82,1.6600000000000001,80940
2014,1,2,3,30,5.44,228.70000000000002,2.71,80910
2014,1,2,4,30,5.21,249.28,3.38,80920
2014,1,2,5,30,2.34,205.71,2.11,80930
2014,1,2,6,30,3.21,150.91,1.9100000000000001,80920
2014,1,2,7,30,3.69,148.19,1.34,80910
2014,1,2,8,30,4.87,161.25,1.6600000000000001,80910
2014,1,2,9,30,2.91,124.12,2.64,80910
2014,1,2,10,30,3.35,135.72,4.0600000000000005,80890
2014,1,2,11,30,4.03,122.29,4.64,80870
2014,1,2,12,30,3.77,140.72,5.37,80850
2014,1,2,13,30,3.31,151.17000000000002,6.01,80830
2014,1,2,14,30,2.65,131.35,6.48,80800
2014,1,2,15,30,2.24,95.97,6.63,80750
2014,1,2,16,30,2.0100000000000002,111.34,6.16,80740
2014,1,2,17,30,2.17,90.62,5.71,80720
2014,1,2,18,30,1.71,61.52,4.88,80690
2014,1,2,19,30,1.09,316.94,5.5600000000000005,80640
2014,1,2,20,30,4.07,291.92,7.12,80600
2014,1,2,21,30,13.16,258.69,7.5,80540
2014,1,2,22,30,12.66,256.49,7.26,80500
2014,1,2,23,30,10.5,259.9,7.03,80470
2014,1,3,0,30,3.79,253.78,7.23,80410
2014,1,3,1,30,1.3,14.74,7.1000000000000005,80320
2014,1,3,2,30,22.29,271.22,7.2,80190
2014,1,3,3,30,23.17,272.64,7.51,80120
2014,1,3,4,30,23.830000000000002,273.24,7.22,80080
2014,1,3,5,30,23.240000000000002,271.93,7.47,80060
2014,1,3,6,30,22.97,272.34000000000003,7.65,80000
2014,1,3,7,30,23.22,272.05,7.61,79940
2014,1,3,8,30,25.19,273.07,7.8,79840
2014,1,3,9,30,25.240000000000002,272.43,8.46,79790
2014,1,3,10,30,25.53,273.19,9.26,79710
2014,1,3,11,30,23.3,271.47,9.83,79680
2014,1,3,12,30,25.23,270.85,9.99,79580
2014,1,3,13,30,24.43,268.37,10.27,79530
2014,1,3,14,30,24.650000000000002,268.8,10.1,79500
2014,1,3,15,30,23.04,261.78000000000003,9.39,79520
2014,1,3,16,30,16.75,255.53,9.07,79590
2014,1,3,17,30,12.01,246.38,8.63,79600
2014,1,3,18,30,6.49,243.66,7.46,79600
2014,1,3,19,30,5.84,248.22,7,79550
2014,1,3,20,30,3.23,224.55,6.0600000000000005,79510
2014,1,3,21,30,1.53,126.57000000000001,6.17,79500
2014,1,3,22,30,5.44,195.9,6.15,79480
2014,1,3,23,30,5.3,164.73,4.87,79490
2014,1,4,0,30,4.44,170.02,4.6000000000000005,79510
2014,1,4,1,30,6.07,63.76,0.98,79680
2014,1,4,2,30,4.14,76.65,-2.61,79770
2014,1,4,3,30,3.95,101.37,-3.36,79800
2014,1,4,4,30,3.34,78.47,-3.46,79840
2014,1,4,5,30,6.48,40.160000000000004,-5.3500000000000005,79880
2014,1,4,6,30,3.99,45.62,-5.6000000000000005,79910
2014,1,4,7,30,3.72,35.64,-5.68,79930
2014,1,4,8,30,2.05,40.83,-5.43,79930
2014,1,4,9,30,5.14,55.65,-6.05,79950
2014,1,4,10,30,4.7700000000000005,54.75,-6.4,79950
2014,1,4,11,30,3.7,36.14,-5.97,79930
2014,1,4,12,30,4.28,36.54,-6.03,79920
2014,1,4,13,30,3.73,47.59,-5.87,79930
2014,1,4,14,30,6.17,36.49,-6.3100000000000005,79980
2014,1,4,15,30,6.9,37.11,-6.640000000000001,80030
2014,1,4,16,30,4.47,12.72,-6.54,80100
2014,1,4,17,30,3.4,40.6,-6.7700000000000005,80150
2014,1,4,18,30,3.6,33.22,-6.72,80180
2014,1,4,19,30,3.5,2.93,-6.94,80190
2014,1,4,20,30,4.21,15.97,-7.54,80210
2014,1,4,21,30,3.16,357.64,-7.29,80230
